value,data
3,"[{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Arona""},{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Ateca""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Born""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Formentor""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Ibiza""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Leon""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Tavascan""},{""id"":9,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Terramar""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
4,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""1""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""2""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""3""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""4""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
5,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""A110""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""A290""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
83,"[{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
100,"[{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""C8""},{""id"":9,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""C8 AILERON""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""C8 DOUBLE 12 S""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""C8 LAVIOLETTE SWB""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""C8 SPYDER SWB""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
112,"[{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
113,"[{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
121,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""GT""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
122,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Sonique""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
125,"[{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
135,"[{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Model 3""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Model S""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Model X""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Model Y""},{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Roadster""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
